Supplier,Supplier Code,Section,Season,Supp.Art.Code,Article Code,Article Name,Color Name,Color Code,Treatment Name,Treatment Code,Composition,Weave,Stretch,Construction,Weight GSM,Width CM,Dye Type,Care Label,Barcode/QR,Base Price EUR,Color Hex,Image URL,,Image
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,122-6030,122-6030,MAROON,PETROLIO,QM700,,,100% CO,PANAMA,RIGID,40/2 - 20/1,275,150,,,,4.75,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,122-6030,122-6030,MAROON-DLR,TERRACOTA,OM700,DELOOR,3R201,100% CO,PANAMA,RIGID,40/2 - 20/1,275,150,,,,5,,,,
SUZER TEKSTIL,DOS-0001,MEILLEUR HOMME SS,SS25,123-7744,234-8641,MARTINEZ,DRY-DAPHNE,HM370,XTREAM,FX502,96% CO 4% EA,TWILL,WEFT,50/1 - 40/1,184,146,,,,4.85,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,103-7740,103-7740,MARVIN,VANILLA PINK,LM320,SFEN'X,SX500,98% CO 2% EA,PLAIN,WEFT,70/1 - 60/1,105,155,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,826628,234-5008,MASON,MARINE,NM901,,,98% CO 2% EA,TWILL,WEFT,30/1 - 20/1,225,145,,,,3.75,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,132-0731,132-0731,MATTHEW,PFD,AM500,,,62% ORG.CO 35% CO 3%EA,TWILL,WEFT,,305,148,,,,5.55,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,132-0731,132-0731,MATTHEW-DLR,KHAKI,V5,GARMENT-DYE,G-DYE,62% ORG.CO 35% CO 3%EA,TWILL,WEFT,,305,148,,,,5.55,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124-5139,124-5139,MAURO,TAUPE,EM441,DUPLEX,DX2140,100% CO,TWILL,RIGID,80/2 Pima - 36/1,185,160,,,,7.2,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124-5139,124-5139,MAURO,CACTUS,HM582,MAEX,MX501,100% CO,TWILL,RIGID,80/2 Pima - 36/1,185,160,,,,7.2,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124820,124820,MAX,NE.OR,RL328,,,100% CO,TWILL,RIGID,,250,161,,,,3.15,#E33220,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124820,124820,MAX,OPTIC-WHITE,AX001,,,100% CO,TWILL,RIGID,,250,161,,,,3.15,,,,
SUZER TEKSTIL,DOS-0001,AISATECH,AW 26-27,124820,124-820,MAX,ORG.NEON,RL328,HARDY,X1200,100% CO,TWILL,RIGID,,250,161,,,,3.15,#E33220,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124820,124-820,MAX,OPTIC-WHITE,AX001,,,100% CO,TWILL,RIGID,,250,161,,,,3.15,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124820,124-820,MAX,INK,NM870,,,100% CO,TWILL,RIGID,,250,161,,,,3.15,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,124820,124-820,MAX,ICE CREAM,BD090,,,100% CO,TWILL,RIGID,,250,161,,,,3.15,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1243428,234-8672,MAXIME,HAZEL,EM500,DELOOR,3R201,100% CO,TWILL,RIGID,40/3 - 12/1,345,150,,,,5.3,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,124-3627,234-7125,MAXIMUS,MOCHA,CM880,,,98% CO 2% EA,TWILL,WEFT,40/3 - 12/1,354,156,,,,5.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1243029,234-7109,MAXWELL,NAVY,NM800,HARDY,X1200,97% CO 3% EA,TWILL,WEFT,40/2 - 24/1,430,149,PD,,,5.2,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,126-5032,126-5032,MAYA,SERA,NM850,C-RPX,X400,96% CO 4%EA,PLAIN,WEFT,100/2 50/1,130,153,,,,7.1,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1226562,122-6562,MONTANA,NYMPH,GM450,HARDY,X1200,100% CO,FANCY,RIGID,,412,142,PD,,,5.55,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,1221752,122-1752,JANICE,ICE STEEL,TL152,VELOX,VX503,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.45,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,1221752,122-1752,JANICE,ICE STEEL,TL152,XTREAM,FX502,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.45,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,1221752,122-1752,JANICE,LAVANTA,VM400,VELOX,VX503,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.55,,,,
SUZER TEKSTIL,DOS-0001,MEILLEUR HOMME SS,SS25,123-7744,123-7744,MELON,DRY-DAPHNE,HM370,XTREAM,FX502,96% CO 4% EA,TWILL,WEFT,50/1 - 40/1,184,146,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,123-7744,123-7744,MELON,ORIENT,LM400,XTREAM,FX502,96% CO 4% EA,TWILL,WEFT,50/1 - 40/1,184,146,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,124820,127-3837,MELOS,HUNTER,HM912,HARDY,X1200,100% CO,TWILL,RIGID,,260,160,,,,3.4,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,1221752,122-1752,JANICE,,RL410,HARDY,X1200,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.2,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1221752,122-1752,JANICE-DLR,MOLY,DM450,DELOOR,3R201,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.25,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,1221752,122-1752,JANICE-DLR,,ND863,DELOOR,3R201,95% CO 5% EA,SATEEN,WEFT,60/1*40/1,200,147,,,,5.25,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,1283543,128-3543,JACQUELIN,GIZA,EM815,XTREAM,FX502,96% CO 4% EA,SATEEN,WEFT,60/1 - 40/1,198,146,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,OVERDOSE,SS25,1283445,128-3445,JAMIE,GIZA,EM815,XTREAM,FX502,96% CO 4% EA,SATEEN,WEFT,70/1 - 40/1,197,147,,,,5.9,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,EB5357,332-1826,MIAMI,AMEYHYST,VM650,VELOX,VX503,100% CO,TWILL,RIGID,40/1-30/1,300,136,,,,5.6,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG SS,SS25,303357,303357,MILES,GTANK,GM380,,,100% CO,PLAIN,RIGID,40/1 - 40/1,130,150,,,,3.15,,,,
SUZER TEKSTIL,DOS-0001,CHARME AW,AW 26-27,1336295,234-8080,TRACE,DENIM,V1,,,68% CO 32% TEN ,TWILL,RIGID,,275,142,,,,4.8,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,135-2053,135-2053,COLONEL,FORESTER,HM890,VELOOR,XM700,98% CO 2% EA,FANCY,RIGID,,225,148,,,,4.95,,,,
SUZER TEKSTIL,DOS-0001,MUSTANG AW,AW 26-27,135-2128,135-2128,CHEVRON,BENGAL.TIGER,TM350,VELOOR,XM700,100% CO,FANCY,RIGID,,365,150,,,,4.75,,,,
SUZER TEKSTIL,DOS-0001,NOEX FASHION,AW 26-27,LIFE B - 599224,234-3080,MAYPA,BLACK,XM001,HARDY,X1200,70% CO 27% PES 3% EA,TWILL,POWER STRECTH,,220,130,,,,,,,,
SUZER TEKSTIL,DOS-0001,NOEX FASHION,AW 26-27,1023821,234-3090,MENTOR,BLACK,XM001,,,97% CO 3% EA,TWILL,WEFT,,245,150,,,,,,,,
SUZER TEKSTIL,DOS-0001,NOEX FASHION,AW 26-27,1276727,234-3105,MARTA,BLACK,XM001,,,100% CO,TWILL,RIGID,,130,148,,,,,,,,
